0 OPEN 
2082 RULE 82b79a931ab623dfc71ee41713422d62_e5798df05caf54b2b9b991ed684929c9_4fbf1f3b7709cda79768f7c0d2235d77_e349fa9fd705f8f3e1ad511233a7e0f2_4fbf1f3b7709cda79768f7c0d2235d77
2086 NODE e349fa9fd705f8f3e1ad511233a7e0f2_4fbf1f3b7709cda79768f7c0d2235d77
2091 RULEATTEMPT 4b74905c7ba10fc34356bd0623ddc3d1_e349fa9fd705f8f3e1ad511233a7e0f2_4fbf1f3b7709cda79768f7c0d2235d77
2094 RULEATTEMPT 6f880c8b33c88f48a493e070025e3d17_e349fa9fd705f8f3e1ad511233a7e0f2_4fbf1f3b7709cda79768f7c0d2235d77
2099 RULEATTEMPT 7c7ae5fc45bf6fbbad0993ad67638289_e349fa9fd705f8f3e1ad511233a7e0f2_4fbf1f3b7709cda79768f7c0d2235d77
2102 RULEATTEMPT 4b74905c7ba10fc34356bd0623ddc3d1_e349fa9fd705f8f3e1ad511233a7e0f2_4fbf1f3b7709cda79768f7c0d2235d77
2107 RULE 4b74905c7ba10fc34356bd0623ddc3d1_e349fa9fd705f8f3e1ad511233a7e0f2_4fbf1f3b7709cda79768f7c0d2235d77_2438fadc010d66876e4278941117f30e_4fbf1f3b7709cda79768f7c0d2235d77
2112 NODE 2438fadc010d66876e4278941117f30e_4fbf1f3b7709cda79768f7c0d2235d77
2117 RULEATTEMPT 770d0992f983ca9c1371665c9fd772f6_2438fadc010d66876e4278941117f30e_4fbf1f3b7709cda79768f7c0d2235d77
2120 RULEATTEMPT 770d0992f983ca9c1371665c9fd772f6_2438fadc010d66876e4278941117f30e_4fbf1f3b7709cda79768f7c0d2235d77
2126 RULE 770d0992f983ca9c1371665c9fd772f6_2438fadc010d66876e4278941117f30e_4fbf1f3b7709cda79768f7c0d2235d77_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2130 NODE 87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2134 RULEATTEMPT 3a13d82d3b78e99607e3009e791648a_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2137 RULEATTEMPT 574fefe39144d7b36989c34dd587c21e_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2140 RULEATTEMPT ea1743c54d66c424cc4828892a679a45_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2143 RULEATTEMPT af5d713042e4a119a027af48fea635b5_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2146 RULEATTEMPT 6a058841ed4bb60873d493c58cf5bdd4_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2149 RULEATTEMPT af5d713042e4a119a027af48fea635b5_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77
2154 RULE af5d713042e4a119a027af48fea635b5_87c7ab8941ef76c382ad22ce8f5728e1_4fbf1f3b7709cda79768f7c0d2235d77_ee6b7291bf26bca10c8837177e5bf72a_4fbf1f3b7709cda79768f7c0d2235d77
2161 NODE ee6b7291bf26bca10c8837177e5bf72a_4fbf1f3b7709cda79768f7c0d2235d77
2167 RULEATTEMPT 52f89835c9c3b150fbbe1113f1c086af_ee6b7291bf26bca10c8837177e5bf72a_4fbf1f3b7709cda79768f7c0d2235d77
2183 RULEATTEMPT 7967e33c9f0e16c69b28583f66b0bf4a_ee6b7291bf26bca10c8837177e5bf72a_4fbf1f3b7709cda79768f7c0d2235d77
2188 RULEATTEMPT 52f89835c9c3b150fbbe1113f1c086af_ee6b7291bf26bca10c8837177e5bf72a_4fbf1f3b7709cda79768f7c0d2235d77
2198 RULE 52f89835c9c3b150fbbe1113f1c086af_ee6b7291bf26bca10c8837177e5bf72a_4fbf1f3b7709cda79768f7c0d2235d77_4a8a267fc25de4a3cc890bd19ae1764e_4fbf1f3b7709cda79768f7c0d2235d77
